natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions
The HCP enters a patient as a new user of system.,HCP(H).,Patient(P).,"enters_as_new_user(H, P) :- HCP(H), Patient(P).","can_enter_as_new_user(H, P) :- HCP(H), Patient(P), not exists_user(P)."
"""A patient, patient representative, or LHCP views the number of unread messages from his message inbox.""","Patient(P), PatientRepresentative(PR), LHCP(L).","Message(M), Inbox(I).","has_inbox(P, I) :- Patient(P), Inbox(I).
has_inbox(PR, I) :- PatientRepresentative(PR), Inbox(I).
has_inbox(L, I) :- LHCP(L), Inbox(I).
unread_message(M, I) :- Message(M), Inbox(I).","can_view_unread_count(P, I) :- Patient(P), Inbox(I), has_inbox(P, I).
can_view_unread_count(PR, I) :- PatientRepresentative(PR), Inbox(I), has_inbox(PR, I).
can_view_unread_count(L, I) :- LHCP(L), Inbox(I), has_inbox(L, I)."
"""The patient or personal representative can see an abbreviated health history of their siblings, parents, and both sets of grandparents for which MIDs are available in iTrust.""","Patient(P), PersonalRepresentative(R).",AbbreviatedHealthHistory(H).,"is_sibling(P, S) :- Patient(P), Patient(S).
is_parent(P, PA) :- Patient(P), Patient(PA).
is_grandparent(P, G) :- Patient(P), Patient(G).
has_mid(P) :- Patient(P).
represents(R, P) :- PersonalRepresentative(R), Patient(P).","can_see(P, H) :- Patient(P), AbbreviatedHealthHistory(H), (is_sibling(P, S) ; is_parent(P, PA) ; is_grandparent(P, G)), has_mid(S) ; has_mid(PA) ; has_mid(G).
can_see(R, H) :- PersonalRepresentative(R), AbbreviatedHealthHistory(H), represents(R, P), (is_sibling(P, S) ; is_parent(P, PA) ; is_grandparent(P, G)), has_mid(S) ; has_mid(PA) ; has_mid(G)."
The HCP does not have the ability to view the patient's security question and password.,HCP(H).,"Patient(P), SecurityQuestion(SQ), Password(PW).","has_security_question(P, SQ) :- Patient(P), SecurityQuestion(SQ). has_password(P, PW) :- Patient(P), Password(PW).","cannot_view(H, P, SQ) :- HCP(H), Patient(P), SecurityQuestion(SQ), has_security_question(P, SQ). cannot_view(H, P, PW) :- HCP(H), Patient(P), Password(PW), has_password(P, PW)."
"""System displays the details for the appointment in a new page, including the appointment type, the appointment date and start time, comment, and the name of either the patient (only for the user being an LHCP) or the LHCP (only for the user being a patient).""","User(U), LHCP(L), Patient(P).",Appointment(A).,"has_appointment(U, A) :- User(U), Appointment(A). is_lhcp(U, L) :- User(U), LHCP(L). is_patient(U, P) :- User(U), Patient(P).","can_view_appointment_details(U, A) :- User(U), Appointment(A), has_appointment(U, A), (is_lhcp(U, L) ; is_patient(U, P))."
"""An LHCP, patient and representative can modify and save his message displaying filter.""","LHCP(L), Patient(P), Representative(R).",Filter(F).,"has_filter(L, F) :- LHCP(L), Filter(F). has_filter(P, F) :- Patient(P), Filter(F). has_filter(R, F) :- Representative(R), Filter(F).","can_modify(L, F) :- LHCP(L), Filter(F), has_filter(L, F). can_modify(P, F) :- Patient(P), Filter(F), has_filter(P, F). can_modify(R, F) :- Representative(R), Filter(F), has_filter(R, F). can_save(L, F) :- LHCP(L), Filter(F), has_filter(L, F). can_save(P, F) :- Patient(P), Filter(F), has_filter(P, F). can_save(R, F) :- Representative(R), Filter(F), has_filter(R, F)."
The patient can click this link.,Patient(P).,Link(L).,,"can_click(P, L) :- Patient(P), Link(L)."
The information is viewed.,User(U).,Information(I).,,"can_view(U, I) :- User(U), Information(I)."
System presents patient's name and patient’s home phone number (so that reminder calls can be made).,User(U).,"Patient(P), PhoneNumber(PN).","has_name(P, Name) :- Patient(P). has_phone(P, PN) :- Patient(P), PhoneNumber(PN).","can_view_patient_info(U, P, Name, PN) :- User(U), Patient(P), has_name(P, Name), has_phone(P, PN)."
An email notification is sent.,User(U).,Notification(N).,"receives_notification(U, N) :- User(U), Notification(N).","send_notification(U, N) :- User(U), Notification(N), receives_notification(U, N)."
An LHCP views the number of submitted physiologic data monitoring reports of his patients for the current date.,"LHCP(L), Patient(P).",PhysiologicDataReport(R).,"has_patient(L, P) :- LHCP(L), Patient(P).
submitted_report(P, R, current_date) :- Patient(P), PhysiologicDataReport(R).","can_view_report_count(L, P, current_date) :- LHCP(L), Patient(P), has_patient(L, P), submitted_report(P, R, current_date)."
System presents a menu of DLHCP.,User(U).,DLHCP(DLH).,"presents_menu(U, DLH) :- User(U), DLHCP(DLH).","can_access_menu(U, DLH) :- User(U), DLHCP(DLH), presents_menu(U, DLH)."
The patient or representative chooses one of these DLHCP.,"Patient(P), Representative(R).",DLHCP(DL).,"chooses(P, DL) :- Patient(P), DLHCP(DL). chooses(R, DL) :- Representative(R), DLHCP(DL).","can_choose(P, DL) :- Patient(P), DLHCP(DL). can_choose(R, DL) :- Representative(R), DLHCP(DL)."
"""The LHCP, the patient or the representative clicks the """"Save"""" button to save the modified filter.""","LHCP(L), Patient(P), Representative(R).",Filter(F).,"has_modified_filter(L, F) :- LHCP(L), Filter(F).
has_modified_filter(P, F) :- Patient(P), Filter(F).
has_modified_filter(R, F) :- Representative(R), Filter(F).","can_save(L, F) :- LHCP(L), Filter(F), has_modified_filter(L, F).
can_save(P, F) :- Patient(P), Filter(F), has_modified_filter(P, F).
can_save(R, F) :- Representative(R), Filter(F), has_modified_filter(R, F)."
"""Upon reading the report, the public health agent can send a """"fake email"""" message to the adverse event reporter to gain more information about the report.""","PublicHealthAgent(A), AdverseEventReporter(R).","Report(REP), Message(MSG).","has_read(A, REP) :- PublicHealthAgent(A), Report(REP).","can_send_message(A, R, MSG) :- PublicHealthAgent(A), AdverseEventReporter(R), Message(MSG), has_read(A, REP), Report(REP)."
The HCP must cancel the prescription.,HCP(H).,Prescription(PR).,has_prescription(PR) :- Prescription(PR).,"can_cancel(H, PR) :- HCP(H), Prescription(PR), has_prescription(PR)."
An LHCP views his appointments in the current month.,LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A)."
"""Then, the LHCP can confirm the status setting or consultation entering or cancel.""",LHCP(L).,"Status(S), Consultation(C).","has_status(S) :- Status(S).
has_consultation(C) :- Consultation(C).","can_confirm_status(L, S) :- LHCP(L), Status(S), has_status(S).
can_enter_consultation(L, C) :- LHCP(L), Consultation(C), has_consultation(C).
can_cancel_consultation(L, C) :- LHCP(L), Consultation(C), has_consultation(C)."
The LHCP confirms the representative's MID.,"LHCP(L), Representative(R).",MID(M).,"has_mid(R, M) :- Representative(R), MID(M).","can_confirm(L, R, M) :- LHCP(L), Representative(R), MID(M), has_mid(R, M)."
"""A patient, patient representative, or LHCP selects one option out of the """"Sort by"""" labeled drop-down box (with options of """"Sender or Recipient"""" or """"Timestamp"""").""","Patient(P), PatientRepresentative(PR), LHCP(L).",SortOption(SO).,"has_access(P, SO) :- Patient(P), SortOption(SO). has_access(PR, SO) :- PatientRepresentative(PR), SortOption(SO). has_access(L, SO) :- LHCP(L), SortOption(SO).","can_select(P, SO) :- Patient(P), SortOption(SO), has_access(P, SO). can_select(PR, SO) :- PatientRepresentative(PR), SortOption(SO), has_access(PR, SO). can_select(L, SO) :- LHCP(L), SortOption(SO), has_access(L, SO)."
The system shall store reason id number for the reason and the name of the reason.,System(S).,Reason(R).,"has_id(R, ID) :- Reason(R), ID(ID). has_name(R, Name) :- Reason(R), Name(Name).","store_reason(S, R, ID, Name) :- System(S), Reason(R), ID(ID), Name(Name), has_id(R, ID), has_name(R, Name)."
An LHCP views his message inbox.,LHCP(L).,MessageInbox(I).,"has_inbox(L, I) :- LHCP(L), MessageInbox(I).","can_view(L, I) :- LHCP(L), MessageInbox(I), has_inbox(L, I)."
A LHCP reviews the consultation.,LHCP(L).,Consultation(C).,"can_review(L, C) :- LHCP(L), Consultation(C).","review(L, C) :- LHCP(L), Consultation(C), can_review(L, C)."
The administrator stores the CPT code and the name of the immunization.,Administrator(A).,"Immunization(I), CPT_Code(C).","has_cpt_code(I, C) :- Immunization(I), CPT_Code(C).","can_store(A, I, C) :- Administrator(A), Immunization(I), CPT_Code(C)."
System presents a list of the patients for which he is allowed to report measurements.,User(U).,Patient(P).,"can_report(U, P) :- User(U), Patient(P).","present_patients(U, P) :- User(U), Patient(P), can_report(U, P)."
An LHCP views additional information for a patient.,LHCP(L).,"Patient(P), AdditionalInfo(A).","has_info(P, A) :- Patient(P), AdditionalInfo(A).","can_view(L, P, A) :- LHCP(L), Patient(P), AdditionalInfo(A), has_info(P, A)."
The LHCP is not able to edit any past appointments.,LHCP(L).,Appointment(A).,is_past(A) :- Appointment(A).,"can_edit(L, A) :- LHCP(L), Appointment(A), not is_past(A)."
System presents a listing of all his patients to view physiologic data reported during the current date.,"System(S), Physician(P).","Patient(PT), PhysiologicData(PD).","has_patient(P, PT) :- Physician(P), Patient(PT).
reported_on(PD, current_date) :- PhysiologicData(PD).","can_view(S, P, PT, PD) :- System(S), Physician(P), Patient(PT), PhysiologicData(PD), has_patient(P, PT), reported_on(PD, current_date)."
"""The status of the consultation being sent is set as """"pending"""".""",Consultation(C).,Status(S).,"has_status(C, S) :- Consultation(C), Status(S).","set_status_pending(C) :- Consultation(C), has_status(C, ""pending"")."
LHCP selects a patient from the list of requested reports.,LHCP(L).,"Patient(P), Report(R).","requested_report(P, R) :- Patient(P), Report(R).","can_select(L, P) :- LHCP(L), Patient(P), requested_report(P, R)."
A patient reports an event related to a prescription drug or immunization reaction.,Patient(P).,"Drug(DR), Immunization(I), Event(E).","reports_event(P, E) :- Patient(P), Event(E). related_to_drug(E, DR) :- Event(E), Drug(DR). related_to_immunization(E, I) :- Event(E), Immunization(I).","can_report(P, E) :- Patient(P), Event(E), (related_to_drug(E, DR) ; related_to_immunization(E, I))."
The message displays the risk factors that the patients exhibit.,"Message(M), Patient(P).",RiskFactor(R).,"exhibits_risk_factor(P, R) :- Patient(P), RiskFactor(R).","can_display(M, P, R) :- Message(M), Patient(P), RiskFactor(R), exhibits_risk_factor(P, R)."
A patient's personal representative or a patient or personal representative sends a message to DLHCP or that of a person they are representing.,"Patient(P), PersonalRepresentative(R), DLHCP(D).",Message(M).,"represents(R, P) :- PersonalRepresentative(R), Patient(P).","can_send_message(S, M, D) :- (Patient(S) or PersonalRepresentative(S)), Message(M), DLHCP(D), (S = P or (PersonalRepresentative(S) and represents(S, P)))."
A patient or personal representative can answer any of the following questions relative to a previous office visit.,"Patient(P), PersonalRepresentative(PR).","Question(Q), OfficeVisit(V).","relative_to(Q, V) :- Question(Q), OfficeVisit(V).","can_answer(P, Q, V) :- Patient(P), Question(Q), OfficeVisit(V), relative_to(Q, V). can_answer(PR, Q, V) :- PersonalRepresentative(PR), Question(Q), OfficeVisit(V), relative_to(Q, V)."
"""Also, the public health agent may  remove an adverse event report (such as based upon communication with the reporter or because the report appears to be bogus).""",PublicHealthAgent(A).,AdverseEventReport(R).,"reported_by(R, P) :- AdverseEventReport(R), Person(P).","can_remove(A, R) :- PublicHealthAgent(A), AdverseEventReport(R), (reported_by(R, P), communication_with(A, P); appears_bogus(R))."
The administrator shall be allowed to assign a LHCP to multiple hospitals.,"Administrator(A), LHCP(L).",Hospital(H).,"assigned_to(L, H) :- LHCP(L), Hospital(H).","can_assign(A, L, H) :- Administrator(A), LHCP(L), Hospital(H)."
System presents a listing of all prescription drugs for which he has been prescribed and has taken in the last 12 months.,User(U).,Drug(DR).,"prescribed_to(U, DR) :- User(U), Drug(DR).
taken_by(U, DR) :- User(U), Drug(DR).","can_view_listing(U, DR) :- User(U), Drug(DR), prescribed_to(U, DR), taken_by(U, DR)."
The LHCP then selects a referral to view details.,LHCP(L).,Referral(R).,"has_access(L, R) :- LHCP(L), Referral(R).","can_view(L, R) :- LHCP(L), Referral(R), has_access(L, R)."
A HCP reviews consultations.,HCP(H).,Consultation(C).,has_consultation(C) :- Consultation(C).,"can_review(H, C) :- HCP(H), Consultation(C)."
The user can select an appointment from the calendar to read the appointment's details.,User(U).,Appointment(A).,"has_appointment(U, A) :- User(U), Appointment(A).","can_read_appointment(U, A) :- User(U), Appointment(A), has_appointment(U, A)."
"""A patient views his appointments in the current month together with his office visit dates, prescription dates, and lab procedure dates of the current month on a calendar for the current month.""",Patient(P).,"Appointment(A), OfficeVisit(O), Prescription(PR), LabProcedure(L), Calendar(C).","has_appointment(P, A) :- Patient(P), Appointment(A), date_in_current_month(A). has_office_visit(P, O) :- Patient(P), OfficeVisit(O), date_in_current_month(O). has_prescription(P, PR) :- Patient(P), Prescription(PR), date_in_current_month(PR). has_lab_procedure(P, L) :- Patient(P), LabProcedure(L), date_in_current_month(L). on_calendar(P, C) :- Patient(P), Calendar(C).","can_view_calendar(P, C, A, O, PR, L) :- Patient(P), Calendar(C), Appointment(A), OfficeVisit(O), Prescription(PR), LabProcedure(L), on_calendar(P, C), has_appointment(P, A), has_office_visit(P, O), has_prescription(P, PR), has_lab_procedure(P, L)."
"""An LHCP or patient can click the """"View Appointment Calendar"""" link to view his appointments in the current month.""","LHCP(L), Patient(P).","AppointmentCalendar(AC), Appointment(A).","has_appointment(L, A) :- LHCP(L), Appointment(A).
has_appointment(P, A) :- Patient(P), Appointment(A).
is_current_month(A) :- Appointment(A).","can_view_calendar(L, AC) :- LHCP(L), AppointmentCalendar(AC), has_appointment(L, A), is_current_month(A).
can_view_calendar(P, AC) :- Patient(P), AppointmentCalendar(AC), has_appointment(P, A), is_current_month(A)."
System presents an automatically-calculated value of BMI calculated based on the formula.,System(S).,BMI(B).,"calculates_bmi(S, B) :- System(S), BMI(B).","can_present(S, B) :- System(S), BMI(B), calculates_bmi(S, B)."
A UAP can report physiologic measurements.,UAP(U).,PhysiologicMeasurement(PM).,,"can_report(U, PM) :- UAP(U), PhysiologicMeasurement(PM)."
The user opens his upcoming appointment list.,User(U).,AppointmentList(AL).,"has_upcoming_appointment_list(U, AL) :- User(U), AppointmentList(AL).","can_open(U, AL) :- User(U), AppointmentList(AL), has_upcoming_appointment_list(U, AL)."
"""An email alert is sent out to the iTrust user in the event of a changed password, status change in laboratory procedure, comprehensive report requested and generated.""",User(U).,"Password(PW), LaboratoryProcedure(LP), Report(R).","has_password(U, PW) :- User(U), Password(PW). has_laboratory_procedure(U, LP) :- User(U), LaboratoryProcedure(LP). has_report(U, R) :- User(U), Report(R).","send_email_alert(U) :- User(U), (has_password(U, PW) and changed(PW)) or (has_laboratory_procedure(U, LP) and status_changed(LP)) or (has_report(U, R) and requested_and_generated(R))."
"""When the patient and LHCP are chosen, system presents the MID of the patient that will be sent to the receiving HCP.""","Patient(P), LHCP(L), ReceivingHCP(R).",MID(M).,"has_mid(P, M) :- Patient(P), MID(M).","can_present_mid(L, P, M, R) :- LHCP(L), Patient(P), MID(M), ReceivingHCP(R), has_mid(P, M)."
The LHCP enters the patient's MID.,LHCP(L).,"Patient(P), MID(M).","has_mid(P, M) :- Patient(P), MID(M).","can_enter(L, P, M) :- LHCP(L), Patient(P), MID(M), has_mid(P, M)."
"""System presents a line chart giving the chosen measurements (either height or weight) of the patient spanning the last 3 calendar years of data, averaged by quarters (January-March, April-June, July-September, October-December).""","User(U), Patient(P).","Measurement(M), Quarter(Q).","has_measurement(P, M, Q) :- Patient(P), Measurement(M), Quarter(Q).","can_view_chart(U, P) :- User(U), Patient(P), has_measurement(P, M, Q)."
A fake email is sent to the patient alerting the patient that a new message reply has arrived.,"System(S), Patient(P).","Email(E), Message(M).","has_message(P, M) :- Patient(P), Message(M). receives_email(P, E) :- Patient(P), Email(E). is_fake_email(E) :- Email(E).","send_fake_email(S, P, E, M) :- System(S), Patient(P), Email(E), Message(M), has_message(P, M), is_fake_email(E), receives_email(P, E)."
LHCP can delete future appointments.,LHCP(L).,Appointment(A).,future_appointment(A) :- Appointment(A).,"can_delete(L, A) :- LHCP(L), Appointment(A), future_appointment(A)."
The patient is then able to write a textual description.,Patient(P).,TextualDescription(TD).,"can_write(P, TD) :- Patient(P), TextualDescription(TD).","write(P, TD) :- Patient(P), TextualDescription(TD), can_write(P, TD)."
The event is logged  to verify his changes.,User(U).,"Event(E), Change(C).","made_change(U, C) :- User(U), Change(C).","can_log_event(U, E, C) :- User(U), Event(E), Change(C), made_change(U, C)."
the HCP is returned in the specific office visit record to verify his changes.,HCP(H).,OfficeVisitRecord(V).,"has_record(H, V) :- HCP(H), OfficeVisitRecord(V).","can_verify(H, V) :- HCP(H), OfficeVisitRecord(V), has_record(H, V)."
"System presents an option (""finish"", ""decline"", ""pending"" with ""pending"" as default value) to mark the status of the consultation","User(U), System(S).","Consultation(C), StatusOption(O).","has_status(C, O) :- Consultation(C), StatusOption(O).","can_mark_status(U, C, O) :- User(U), Consultation(C), StatusOption(O), System(S), default_status(O, 'pending')."
System presents a text box to enter the details of the consultation.,User(U).,Consultation(C).,"can_access_consultation(U, C) :- User(U), Consultation(C).","can_enter_details(U, C) :- User(U), Consultation(C), can_access_consultation(U, C)."
The LHCP or ER enters a MID,"LHCP(L), ER(E).",MID(M).,"enters(L, M) :- LHCP(L), MID(M). enters(E, M) :- ER(E), MID(M).","can_enter(L, M) :- LHCP(L), MID(M). can_enter(E, M) :- ER(E), MID(M)."
The LHCP or ER confirms the input.,"LHCP(L), ER(E).",Input(I).,,"can_confirm(L, I) :- LHCP(L), Input(I). can_confirm(E, I) :- ER(E), Input(I)."
"The representative enters the text of the response message (up to 1000 characters),",Representative(R).,ResponseMessage(M).,"enters(R, M) :- Representative(R), ResponseMessage(M).","can_enter(R, M) :- Representative(R), ResponseMessage(M), length(M, L), L <= 1000."
then The representative clicks the send button.,Representative(R).,Button(B).,"can_click(R, B) :- Representative(R), Button(B).","click(R, B) :- Representative(R), Button(B), can_click(R, B)."
"The patient opens the message to which he or she wishes to reply,",Patient(P).,Message(M).,"has_access_to(P, M) :- Patient(P), Message(M).","can_open(P, M) :- Patient(P), Message(M), has_access_to(P, M)."
and The patient clicks the reply link above the message text.,Patient(P).,"Message(M), ReplyLink(L).","has_message(P, M) :- Patient(P), Message(M). has_reply_link(M, L) :- Message(M), ReplyLink(L).","can_click(P, L) :- Patient(P), ReplyLink(L), has_message(P, M), has_reply_link(M, L)."
"A patient renews the patient's expired prescriptions (i.e., prescriptions' end dates are earlier than the current date)",Patient(P).,Prescription(PR).,"has_prescription(P, PR) :- Patient(P), Prescription(PR).","can_renew(P, PR) :- Patient(P), Prescription(PR), has_prescription(P, PR), end_date(PR, ED), current_date(CD), ED < CD."
and therefore A patient finds the LHCPs who earlier wrote the patient's expired prescriptions (it is assumed that the doctors who wrote prescriptions are all LHCPs so no LHCP checks on the prescription-writing doctors are needed).,"Patient(P), LHCP(L).",Prescription(PR).,"wrote_prescription(L, P, PR) :- LHCP(L), Patient(P), Prescription(PR). expired(PR) :- Prescription(PR).","can_find(P, L) :- Patient(P), LHCP(L), wrote_prescription(L, P, PR), expired(PR)."
The HCP enters a MID  or name of a patient,HCP(H).,Patient(P).,"has_mid(P, MID) :- Patient(P), MID(MID). has_name(P, Name) :- Patient(P), Name(Name).","can_enter(H, P) :- HCP(H), Patient(P), (has_mid(P, MID) ; has_name(P, Name))."
The HCP confirms their selection.,HCP(H).,Selection(S).,"has_selection(H, S) :- HCP(H), Selection(S).","can_confirm(H, S) :- HCP(H), Selection(S), has_selection(H, S)."
The LHCP enters a patient's MID,LHCP(L).,"Patient(P), MID(M).","has_mid(P, M) :- Patient(P), MID(M).","can_enter(L, P, M) :- LHCP(L), Patient(P), MID(M), has_mid(P, M)."
The LHCP confirms his input.,LHCP(L).,Input(I).,"has_input(L, I) :- LHCP(L), Input(I).","can_confirm(L, I) :- LHCP(L), Input(I), has_input(L, I)."
The patient may type a last name or partial last name,Patient(P).,LastName(L).,"can_type(P, L) :- Patient(P), LastName(L).","may_type(P, L) :- Patient(P), LastName(L), can_type(P, L)."
The patient optionally reduces the list of choices by providing the specialty.,Patient(P).,Specialty(S).,"has_specialty_choice(P, S) :- Patient(P), Specialty(S).","reduce_choices(P, S) :- Patient(P), Specialty(S), has_specialty_choice(P, S)."
"The representative opens the message to which he or she wishes to reply,",Representative(R).,Message(M).,"wants_to_reply(R, M) :- Representative(R), Message(M).","can_open(R, M) :- Representative(R), Message(M), wants_to_reply(R, M)."
The representative clicks the reply link above the message text.,Representative(R).,"Message(M), ReplyLink(L).","above(L, M) :- ReplyLink(L), Message(M).","can_click(R, L, M) :- Representative(R), ReplyLink(L), Message(M), above(L, M)."
The administrator adds a new entry for a hospital,Administrator(A).,Hospital(H).,"has_entry(A, H) :- Administrator(A), Hospital(H).","can_add(A, H) :- Administrator(A), Hospital(H)."
The administrator modify the hospital name in an existing entry.,Administrator(A).,Hospital(H).,"has_entry(A, H) :- Administrator(A), Hospital(H).","can_modify_hospital_name(A, H) :- Administrator(A), Hospital(H), has_entry(A, H)."
The patient enters the text of the response message (up to 1000 characters),Patient(P).,Message(M).,"enters(P, M) :- Patient(P), Message(M).","can_enter(P, M) :- Patient(P), Message(M), length(M, L), L <= 1000."
The patient clicks the send button.,Patient(P).,Button(B).,"can_click(P, B) :- Patient(P), Button(B).","click(P, B) :- Patient(P), Button(B), can_click(P, B)."
The HCP enters a MID of a patient,HCP(H).,"Patient(P), MID(M).","has_mid(P, M) :- Patient(P), MID(M).","can_enter_mid(H, P, M) :- HCP(H), Patient(P), MID(M), has_mid(P, M)."
The HCP confirms their input.,HCP(H).,Input(I).,"has_input(H, I) :- HCP(H), Input(I).","can_confirm(H, I) :- HCP(H), Input(I), has_input(H, I)."
The LHCP enters the text of the response message (up to 1000 characters),LHCP(L).,ResponseMessage(RM).,"enters(L, RM) :- LHCP(L), ResponseMessage(RM), length(RM, Len), Len <= 1000.","can_enter(L, RM) :- LHCP(L), ResponseMessage(RM), length(RM, Len), Len <= 1000."
The LHCP clicks the send button.,LHCP(L).,Button(B).,"can_click(L, B) :- LHCP(L), Button(B).","click(L, B) :- LHCP(L), Button(B), can_click(L, B)."
A LHCP or ER views an emergency report,"LHCP(L), ER(E).",EmergencyReport(R).,"can_view(L, R) :- LHCP(L), EmergencyReport(R). can_view(E, R) :- ER(E), EmergencyReport(R).","view(L, R) :- LHCP(L), EmergencyReport(R), can_view(L, R). view(E, R) :- ER(E), EmergencyReport(R), can_view(E, R)."
A LHCP or ER provides an MID.,"LHCP(L), ER(E).",MID(M).,"provides(L, M) :- LHCP(L), MID(M). provides(E, M) :- ER(E), MID(M).","can_provide(S, M) :- (LHCP(S) ; ER(S)), MID(M)."
The HCP can view a list of laboratory procedures,HCP(H).,LaboratoryProcedure(LP).,,"can_view(H, LP) :- HCP(H), LaboratoryProcedure(LP)."
The HCP can update the status and comments.,HCP(H).,"Status(S), Comment(C).",,"can_update(H, S) :- HCP(H), Status(S). can_update(H, C) :- HCP(H), Comment(C)."
The editor may correct the form,Editor(E).,Form(F).,"has_permission(E, F) :- Editor(E), Form(F).","can_correct(E, F) :- Editor(E), Form(F), has_permission(E, F)."
The editor add more information.,Editor(E).,Information(I).,"can_edit(E, I) :- Editor(E), Information(I).","add_information(E, I) :- Editor(E), Information(I), can_edit(E, I)."
The health care personnel enters a MID of a patient,HealthCarePersonnel(H).,Patient(P).,"has_MID(P, MID) :- Patient(P).","can_enter_MID(H, P) :- HealthCarePersonnel(H), Patient(P)."
The health care personnel confirms their selection.,HealthCarePersonnel(H).,Selection(S).,"has_selection(H, S) :- HealthCarePersonnel(H), Selection(S).","can_confirm(H, S) :- HealthCarePersonnel(H), Selection(S), has_selection(H, S)."
The LHCP types the subject (up to 100 characters) and the text of a message (up to 1000 characters),LHCP(L).,Message(M).,"types_subject(L, M) :- LHCP(L), Message(M). types_text(L, M) :- LHCP(L), Message(M).","can_type_message(L, M) :- LHCP(L), Message(M)."
The LHCP clicks the send button.,LHCP(L).,Button(B).,"has_access(L, B) :- LHCP(L), Button(B).","can_click(L, B) :- LHCP(L), Button(B), has_access(L, B)."
(If a patient or personal representative has not taken an office visit satisfaction survey for an office visit yet) The patient may take the survey for an office visit,"Patient(P), PersonalRepresentative(PR).","OfficeVisit(V), Survey(S).","has_visit(P, V) :- Patient(P), OfficeVisit(V). has_visit(PR, V) :- PersonalRepresentative(PR), OfficeVisit(V). has_taken_survey(P, V, S) :- Patient(P), OfficeVisit(V), Survey(S). has_taken_survey(PR, V, S) :- PersonalRepresentative(PR), OfficeVisit(V), Survey(S).","can_take_survey(P, V, S) :- Patient(P), OfficeVisit(V), Survey(S), has_visit(P, V), not has_taken_survey(P, V, S). can_take_survey(PR, V, S) :- PersonalRepresentative(PR), OfficeVisit(V), Survey(S), has_visit(PR, V), not has_taken_survey(PR, V, S)."
"(if the survey has already been taken, the patient or personal health representative will not have the ability to take the survey).","Patient(P), PersonalHealthRepresentative(R).",Survey(S).,"has_taken(P, S) :- Patient(P), Survey(S). has_taken(R, S) :- PersonalHealthRepresentative(R), Survey(S).","can_take(P, S) :- Patient(P), Survey(S), not has_taken(P, S). can_take(R, S) :- PersonalHealthRepresentative(R), Survey(S), not has_taken(R, S)."
"(if the survey has already been taken, the patient or personal health representative will not have the ability to view their previously submitted survey).","Patient(P), PersonalHealthRepresentative(R).",Survey(S).,"has_taken(P, S) :- Patient(P), Survey(S).
has_taken(R, S) :- PersonalHealthRepresentative(R), Survey(S).","can_view(P, S) :- Patient(P), Survey(S), not has_taken(P, S).
can_view(R, S) :- PersonalHealthRepresentative(R), Survey(S), not has_taken(R, S)."
"The LHCP enters the patient MID,",LHCP(L).,Patient(P).,"enters(L, P) :- LHCP(L), Patient(P).","can_enter(L, P) :- LHCP(L), Patient(P)."
"The LHCP selects the type of appointment from a pull-down menu of the existing appointment types,",LHCP(L).,AppointmentType(AT).,available_appointment_type(AT) :- AppointmentType(AT).,"can_select_appointment_type(L, AT) :- LHCP(L), AppointmentType(AT), available_appointment_type(AT)."
"The LHCP enters the appointment date and time,",LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_enter(L, A) :- LHCP(L), Appointment(A)."
The LHCP enters comment (optional) up to 1000 characters such as reason for the appointment.,LHCP(L).,Comment(C).,"enters_comment(L, C) :- LHCP(L), Comment(C).","can_enter_comment(L, C) :- LHCP(L), Comment(C), length(C, Len), Len <= 1000."
"The user selects a message from the list to read by clicking the ""Read"" link beside the row for the message,",User(U).,Message(M).,"has_access_to(U, M) :- User(U), Message(M), row_for_message(M).","can_read(U, M) :- User(U), Message(M), has_access_to(U, M)."
"the message subject, the name of the sender, the name of the the recipient, timestamp, and the message text shall be displayed in a new page.",User(U).,Message(M).,"has_sender(M, U) :- Message(M), User(U). has_recipient(M, U) :- Message(M), User(U). has_subject(M, S) :- Message(M), Subject(S). has_timestamp(M, T) :- Message(M), Timestamp(T). has_text(M, TXT) :- Message(M), Text(TXT).","can_display(U, M) :- User(U), Message(M), has_sender(M, Sender), has_recipient(M, Recipient), has_subject(M, Subject), has_timestamp(M, Timestamp), has_text(M, Text)."
He can select a patient,User(U).,Patient(P).,,"can_select(U, P) :- User(U), Patient(P)."
He can enter data.,User(U).,Data(D).,,"can_enter(U, D) :- User(U), Data(D)."
